order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD470139,ID1842169016,2019-07-23,Nickolson,"[('iStream', 2), ('Olivia x460', 1)]",1525.0,53.87,-37.8325704,144.97168380000005,15,1350.12,Winter,False,1.567,"blown speaker the speaker is terrible. when my husband makes a call, he is difficult to understand. it is like the speaker is blown. we would like a replacement.",0.0
ORD315411,ID0575434444,2019-08-08,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 1)]",4640.0,,-37.8198836,144.9853014,0,4707.54,Winter,False,1.3924,"works fine on t mobile and simple mobile networks. received this phone yesterday (as a gift same model number 955f) and have been using it with simple mobile and t mobile networks here in the united states. put my sim card in and got good connections with lte, no problems.",1.0
ORD227202,ID4633573541,2019-10-27,Thompson,"[('pearTV', 2), ('Universe Note', 2), ('Thunder line', 1), ('iAssist Line', 1)]",23925.0,77.46,-37.8054845,144.9438349,15,20413.71,Spring,False,0.8493,love it would reorder would reorder,1.0
ORD439324,ID2948774579,2019-05-15,Nickolson,"[('Lucent 330S', 2), ('iStream', 2), ('Thunder line', 1), ('Alcon 10', 1)]",13890.0,68.04,-37.8079235,144.9704362,25,10485.54,Autumn,False,1.1905,"good phone it was a little more broken in than i thought, but in good working order. i will kill this phone so a used one in best for me.",1.0
ORD166147,ID0060653715,2019-03-29,Thompson,"[('Candle Inferno', 2), ('pearTV', 1), ('iStream', 1)]",7320.0,63.03,-37.8190658,144.9466291,5,7017.03,Autumn,True,0.7127,beware ridiculous paid 219 for a phone i had for 2 days and it doesn't work won't come on,0.0
ORD449083,ID5424203725,2019-11-06,Nickolson,"[('Olivia x460', 1), ('Lucent 330S', 2)]",3685.0,60.9,-37.8191184,144.9772137,15,3193.15,Spring,False,0.6763,phone was in very bad condition the phone was a gift for my mother and it came fully scratch in all corners. terrible i feel so ashamed of the present that i gave my mother.,0.0
ORD029733,ID0591429446,2019-02-24,Nickolson,"[('Candle Inferno', 1), ('Olivia x460', 1)]",1655.0,52.72,-37.8182158,144.9651513,10,1542.22,Summer,False,0.3892,one star returned due to government warning,0.0
ORD386767,ID0711358557,2019-04-11,Thompson,"[('iStream', 1), ('Toshika 750', 2), ('iAssist Line', 2), ('pearTV', 2)]",25860.0,,-37.8070879,144.9590458,5,24633.62,Autumn,False,1.2231,i liked linking two more rooms in the home,1.0
ORD018962,ID1459448707,2019-01-13,Bakers,"[('iStream', 2), ('iAssist Line', 1), ('Universe Note', 1)]",5975.0,99.07,-37.81948120000001,145.00771880000005,15,5177.82,Summer,True,1.5234,five stars awesome phone fast clean and comes in handy,1.0
ORD229175,ID6245731028,2019-09-18,Nickolson,"[('Toshika 750', 1), ('Candle Inferno', 1)]",4750.0,79.12,-37.8106277,144.9775804,0,4829.12,Spring,False,1.1337,"excellent, brand new condition! this phone is perfect. no visible signs of wear, works perfectly. i was hesitant about buying a renewed phone but i'm really so happy with it.",1.0
ORD308949,ID3163980132,2019-05-09,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 2)]",18330.0,80.92,-37.8034179,144.956843,15,15661.42,Autumn,True,1.3418,"the phone itself is great, shipping was fast the phone itself is great , shipping was fast , however the images used showed a wireless charger , that was not included , so that was disappointing , also it did not include the needed sim card tool to open the tray , so 3 stars overall,",1.0
ORD193491,ID0140980377,2019-04-25,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 1), ('pearTV', 1)]",11190.0,55.29,-37.7987658,144.968704,15,9566.79,Autumn,False,2.2086,"this product is a complete waste of money. when you ask iassist a question ""she"" either doesn't know the answer, gives you the wrong answer or finds information off of wikipedia!",0.0
ORD052758,ID3218293555,2019-05-28,Thompson,"[('iStream', 1), ('Toshika 750', 2)]",8790.0,81.37,-37.80425820000001,144.9543086,10,7992.37,Autumn,True,1.1326,"great flip phone. if you want a basic cell phone that also takes pics, texts, wakes you up in the mornings, alerts you when to take your meds. plus provides a handy calender, calculator, stop watch, and voice activated....this is the phone for you.",1.0
ORD199862,ID6167231034,2019-09-12,Nickolson,"[('pearTV', 1), ('iStream', 1), ('iAssist Line', 2)]",,102.73,-37.812956,144.9603853,5,,Spring,True,1.0216,four stars ok,1.0
ORD438613,ID4754200377,2019-07-19,Thompson,"[('Lucent 330S', 1), ('iAssist Line', 2), ('Candle Inferno', 1), ('iStream', 1)]",6260.0,84.21,-37.81521160000001,144.9275535,10,5718.21,Winter,True,1.7393,love this tablet! super bright colors! great for gamers! can't bet this tablet for any price!,1.0
ORD455805,ID0207141384,2019-06-23,Thompson,"[('Universe Note', 2), ('Alcon 10', 1), ('iStream', 2)]",16150.0,64.92,-37.8245495,144.95293830000003,10,14599.92,Winter,True,1.4192,suspected lcd problem with universe s9. quite attracted to the product first hand. quite suddenly the lcd screen went off and stayed off within the first three hours during the setup. i'm quite disappointed.,0.0
ORD009304,ID0207085408,2019-04-07,Bakers,"[('Olivia x460', 1), ('iAssist Line', 2)]",5675.0,,-37.811672,145.0153872,10,5177.26,Autumn,False,1.7823,super awesome phone it is a great phone love everything about it so far. my favorite thing is the screen and the front and back camera.,1.0
ORD055662,ID3199635545,2019-06-17,Nickolson,"[('Lucent 330S', 1), ('iStream', 1)]",1380.0,68.18,-37.8052211,144.9692373,10,1310.18,Winter,False,1.489,"i love this phone so far, i love this phone! audio sounds bubbly, like under water somewhat, but i'm enjoying my phone, works great, loved the price, and fast shipment too! :)",1.0
ORD029248,ID0299026688,2019-07-09,Bakers,"[('Olivia x460', 2), ('Thunder line', 1), ('iStream', 1), ('iAssist Line', 2)]",9230.0,53.41,-37.8049,145.0117458,10,8360.41,Winter,False,1.5592,one star have not purchased it but looks fake from the pictures,0.0
ORD193669,ID0207093574,2019-05-21,Bakers,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Universe Note', 2), ('iAssist Line', 1)]",14675.0,66.2,-37.8036241,145.0079488,5,14007.45,Autumn,False,1.3244,"i love my thunder line!  the price i paid during gold day was comparable to buying a new digital clock with the bells and whistles, but this does so much more.  i can play music, set alarms, call friends, play games, set timers...the list goes on and on.  definitely worth the money.",
ORD059035,ID1479928138,2019-05-19,Thompson,"[('Toshika 750', 1), ('Candle Inferno', 1), ('Thunder line', 1)]",,79.57,-37.8207681,144.95512119999995,5,,Autumn,True,1.146,good as offer 😀 good as expected. fast deliver.,1.0
ORD050577,ID0844490762,2019-09-20,Thompson,"[('Thunder line', 1), ('Candle Inferno', 1), ('Alcon 10', 2)]",20510.0,85.81,-37.8204933,144.9487358,15,17519.31,Spring,True,0.8828,one star sorry i both it,0.0
ORD269979,ID0233262575,2019-08-20,Bakers,"[('Universe Note', 2), ('Alcon 10', 2), ('Toshika 750', 2)]",33440.0,80.8,-37.8033157,144.9823134,5,31848.8,Winter,True,1.3579,"excellent! i was very happy with the phone, the packaging and delivery to convenient digico locker. great experience!",1.0
ORD032503,ID6167413273,2019-10-17,Nickolson,"[('Olivia x460', 1), ('iStream', 1), ('Thunder line', 1), ('Candle Inferno', 1)]",3985.0,100.65,-37.8151079,144.9605892,0,4085.65,Spring,True,0.8785,"phone good with some major annoyances the phone works better than olivia in pretty much every category, except google voice and android auto don't work. this is enough of a deal breaker for most and i am considering returning the device for these reasons.",1.0
ORD016216,ID0030287462,2019-06-30,Bakers,"[('Olivia x460', 2), ('Lucent 330S', 1), ('Candle Inferno', 1), ('iStream', 1)]",4260.0,82.62,-37.8014117,144.9761818,5,4129.62,Winter,True,1.9288,love the phone want one w/o glitches i loved to phone. i had to send it back because it had a few glitches. it would power down on its own every so often and it would lose sound. if not for these two issues i would still have my lucent.,1.0
ORD112328,ID0581706635,2019-06-27,Thompson,"[('Alcon 10', 1), ('Universe Note', 2)]",15850.0,70.3,-37.8051371,144.92591399999995,15,13542.8,Winter,False,2.0409,five stars great product thanks,1.0
ORD232606,ID0291210712,2019-02-19,Nickolson,"[('Thunder line', 2), ('iAssist Line', 2)]",8810.0,97.77,-37.8061059,144.9659244,25,6705.27,Summer,True,1.4264,great phone nice for the price,1.0
ORD118729,ID0777790169,2019-07-29,Thompson,"[('iAssist Line', 2), ('Universe Note', 1)]",7900.0,64.01,-37.8083827,144.955006,10,7174.01,Winter,False,0.8458,5 stars for the note 5 i love the olivia universe note series...my purchase of the note 5 was one of my best choices....i love the phone but a better front camera would make it excellent,1.0
ORD021879,ID1982491306,2019-04-19,Thompson,"[('Olivia x460', 2), ('Alcon 10', 2), ('iAssist Line', 1)]",22575.0,79.89,-37.8015386,144.9480116,5,21526.14,Autumn,True,1.2422,its ok i like it is pretty slow but manageable. came at expected time looks brand spanking new with one tiny scratch on thumb button.,1.0
ORD067567,ID0723973453,2019-02-23,Bakers,"[('Universe Note', 2), ('Candle Inferno', 1), ('Lucent 330S', 2), ('pearTV', 1)]",16100.0,79.17,-37.809021,145.01016950000005,5,15374.17,Summer,False,1.3182,"great! i've never had an issue with a cr device, whether it's been a tablet or phone, and i love it! definitely worth the price, if you don't want to pay $600+ for a 6s plus alcon.",1.0
ORD415985,ID0301542631,2019-08-24,Thompson,"[('Universe Note', 1), ('Lucent 330S', 2)]",5910.0,65.78,-37.8214145,144.9503213,5,5680.28,Winter,False,1.0142,olivia note 8 excellent phone loving my phone,
ORD092435,ID0579402276,2019-03-22,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 1), ('iStream', 2), ('pearTV', 1)]",8265.0,77.2,-37.8184632,144.9746122,10,7515.7,Autumn,True,0.4453,"pleased with the phone i have been pleased with the olivia a20 phone. i cannot review any of the ""fancy"" things it may be able to do since i primarily use it as a phone, gps, and to take e few pictures. my old phone was...old...so at this price, the phone is great.",1.0
ORD415388,ID0441996194,2019-04-13,Bakers,"[('pearTV', 2), ('iStream', 2), ('Thunder line', 1)]",15100.0,65.94,-37.82098060000001,145.00040380000004,0,15165.94,Autumn,False,1.3046,great phone fits needs perfectly,1.0
ORD291467,ID4754200385,2019-04-19,Thompson,"[('Candle Inferno', 1), ('Olivia x460', 1)]",1655.0,69.03,-37.8152883,144.927865,25,1310.28,Autumn,False,1.7137,"love this tablet. bought it to be my touch screen remote for my harmony hub, but use it for so much more now.",1.0
ORD453232,ID1879266190,2019-03-13,Thompson,"[('Universe Note', 2), ('Lucent 330S', 1), ('iStream', 2)]",8430.0,70.81,-37.8022222,144.96333230000005,15,7236.31,Autumn,False,1.8437,five stars awesome,1.0
ORD398523,ID6167344578,2019-03-24,Nickolson,"[('Lucent 330S', 1), ('Toshika 750', 1), ('iStream', 2)]",5850.0,62.57,-37.81595220000001,144.9731899,15,5035.07,Autumn,False,0.4347,four stars only cons is that it doesn't allow a memory card. but the cell phone is excellent,1.0
ORD430558,ID2975262283,2019-02-05,Bakers,"[('Olivia x460', 1), ('Alcon 10', 2), ('Toshika 750', 2)]",27765.0,101.45,-37.8237048,144.9970525,10,25089.95,Summer,True,1.5344,"genial y contento ademas de cumplir las expectativas que tenia respecto al smartphone, es muy cómodo, amigable e intuitivo. la cámara es fabulosa y de muy fácil uso, totalmente recomendable, ademas, el lucent one vision version xt1970-1, tiene compatibilidad con todas las bandas de chile",1.0
ORD258918,ID1883787524,2019-04-04,Thompson,"[('pearTV', 2), ('Thunder line', 1), ('Lucent 330S', 2), ('Universe Note', 1)]",20710.0,67.06,-37.8250588,144.9477967,0,20777.06,Autumn,False,1.3802,... gift to my brother he loves it and working fine! i think gonna buy one for me it was gift to my brother he loves it and working fine! i think gonna buy one for me!,1.0
ORD178399,ID0605199040,2019-01-09,,"[('pearTV', 2), ('iAssist Line', 2), ('Lucent 330S', 1)]",18300.0,55.73,-37.8134421,144.96542150000005,25,13780.73,Summer,False,,bravo f decepción ...,0.0
ORD095069,ID0060096991,2019-09-10,Thompson,"[('Toshika 750', 2), ('Olivia x460', 1), ('Universe Note', 2)]",16765.0,,-37.8147369,144.9498791,0,16863.13,Spring,True,0.3374,great,1.0
ORD389569,ID2180785594,2019-12-24,Nickolson,"[('iAssist Line', 1), ('Candle Inferno', 2)]",3085.0,70.29,-37.8145127,144.9700347,5,3001.04,Summer,False,0.4564,"size, brightness, and convenience are good. the option to link with android products for messages is a little hard.",1.0
ORD011599,ID6245731080,2019-06-24,Nickolson,"[('iAssist Line', 2), ('Universe Note', 1), ('Alcon 10', 1), ('Toshika 750', 1)]",21170.0,79.25,-37.8106251,144.9781055,5,20190.75,Winter,True,1.1632,five stars this is a great phone for the money. the wi-fi phone feature is epic.,1.0
ORD199816,ID0702363471,2019-04-01,Thompson,"[('iStream', 1), ('Toshika 750', 1)]",4470.0,52.08,-37.8063174,144.9415754,5,4298.58,Autumn,False,0.8567,idk i dont remember details,0.0
ORD036028,ID0529158996,2019-12-18,Thompson,"[('iStream', 1), ('Lucent 330S', 2), ('iAssist Line', 2)]",7060.0,97.6,-37.8236483,144.940564,15,6098.6,Summer,True,1.349,value for money phone is absolutely fabulous. touch screen and screen size is amazing. as mentioned in specification ram and processos are fast. only thing you are not used to use bigger screen phone then you may find it difficult initially to operate this phone.,1.0
ORD202613,ID3810637333,2019-06-11,Thompson,"[('Olivia x460', 1), ('Thunder line', 1)]",3405.0,65.94,-37.8206841,144.94136719999997,0,3470.94,Winter,False,1.023,would recommend the apps are fast. niece loves it.,1.0
