order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD351667,ID0579380055,2019-11-28,Thompson,"[('pearTV', 1), ('iAssist Line', 2), ('iStream', 1), ('Olivia x460', 2)]",13360,82.87,-37.8215102,144.9307248,10,12106.87,Spring,False,1.7417,htc was great but not with my cars bluetooth i came from a htc one m8. htc was great but not with my cars bluetooth. people on the other end always said i was breaking up when they heard me. this s6 does everything and does it super fast. great camera. this phone is awesome!,True
ORD308286,ID5712522539,2019-09-20,Thompson,"[('pearTV', 2), ('Toshika 750', 1), ('Thunder line', 2), ('iStream', 1)]",21450,61.78,-37.81868370000001,144.9427816,0,21511.78,Spring,False,0.768,"mms messages unable to send mms messages or receieve group text as a group, messages get sent individually. unable to change this setting.",False
ORD019801,ID0643992404,2019-08-28,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 1), ('Lucent 330S', 2), ('Alcon 10', 1)]",13495,82.12,-37.8240744,144.98875769999995,25,10203.37,Winter,True,1.6674,great phone on a budget phone is a reasonably priced and works great. after using a olivia universe for years this is only a third of the price.,True
ORD002245,ID0767594363,2019-07-23,Nickolson,"[('Universe Note', 2), ('Toshika 750', 1), ('Alcon 10', 1), ('pearTV', 2)]",32790,66.11,-37.8070706,144.97126619999997,10,29577.11,Winter,False,1.2917,got it on sale and it's good for what you pay for instead of paying a lot of money on an ipad.,True
ORD452397,ID0575428927,2019-07-01,Nickolson,"[('Olivia x460', 2), ('Lucent 330S', 1)]",3680,68.11,-37.8187161,144.98400859999995,10,3380.11,Winter,False,1.2714,five stars beautifully designed phone. handles and meets all of my expectations and is always ready to do whatever is asked.,True
ORD494536,ID0844418936,2019-01-05,Thompson,"[('Universe Note', 1), ('Olivia x460', 2), ('pearTV', 1)]",12210,94.55,-37.8197232,144.9468102,25,9252.05,Summer,True,0.7851,"five stars great cellphone, i love xp cellphones.",True
ORD270084,ID0571731178,2019-04-09,Thompson,"[('Toshika 750', 1), ('iStream', 1), ('Candle Inferno', 1), ('pearTV', 1)]",11210,65.31,-37.8240357,144.9436033,0,11275.31,Autumn,False,1.301,"gets better the more i use it this phone just gets better and better the more i use it. it doesn't come with a whole bunch of useless apps preinstalled, the camera is incredible, it has a great intuitive interface... love love love this phone!",True
ORD195953,ID1838361782,2019-04-15,Nickolson,"[('Candle Inferno', 2), ('Alcon 10', 2)]",18760,78.02,-37.8164706,144.966998,15,16024.02,Autumn,True,0.3261,its very easy to set up and use. love to take it with me . screen its large enough to read easy on it,True
ORD110194,ID5448707282,2019-07-25,Thompson,"[('Olivia x460', 1), ('iStream', 1), ('pearTV', 1), ('Alcon 10', 1)]",16635,51.8,-37.8217376,144.9367746,5,15855.05,Winter,False,1.3556,"good phone bad experience i bought this phone in july 18 and only lasted a november 22, the phone turned off and never turn back on again. xiaomi do not back up his product ( sold for third party companys ) or digico website. mobile international llc didn't offer any help either. try to buying from other company they only give you 30 days warranty.",False
ORD463756,ID1462398954,2019-12-20,Bakers,"[('pearTV', 1), ('iAssist Line', 1)]",8535,70.72,-37.8199495,145.01447869999996,15,7325.47,Summer,False,2.023,"fake phone. there is no difference between g3 and g4. fake phone. there is no difference between g3 and g4. i have bought both and i see no difference, just the name. the performance is exactly the same. same software version. there is no difference. i think the description says g4 just to sell the phone when the g3 had been discontinued.",False
ORD023712,ID0634783795,2019-10-05,Thompson,"[('Thunder line', 2), ('Lucent 330S', 2), ('iAssist Line', 2), ('Olivia x460', 1)]",12495,102.96,-37.8136161,144.9371999,25,9474.21,Spring,True,0.8742,i love this phone i love this phone. i have owned s4 and s5 and have found it to be an excellent phone. i am in the outdoors a lot and have been caught in some bad rain storms. i've never had to replace my phone because it got wet and there were times it was soaked.,True
ORD205013,ID3199521097,2019-08-19,Nickolson,"[('pearTV', 2), ('Universe Note', 2), ('Candle Inferno', 1), ('iAssist Line', 2)]",24400,73.99,-37.8187758,144.9700762,0,24473.99,Winter,True,0.0504,love it best phone ever made,True
ORD445944,ID0176699701,2019-09-10,Nickolson,"[('Universe Note', 2), ('Alcon 10', 2), ('Toshika 750', 2)]",33440,77.29,-37.8113305,144.9629945,5,31845.29,Spring,False,0.9932,i gave it to a friend who is happy with it the shipment arrived quite quickly. unfortunately when i purchased the phone i didn't realize it was prepaid so couldn't use it. i gave it to a friend who is happy with it :) thank you very much!,True
ORD224785,ID0781154913,2019-03-10,Thompson,"[('iAssist Line', 2), ('Alcon 10', 2), ('pearTV', 2)]",34970,66.94,-37.8016016,144.9428166,10,31539.94,Autumn,False,1.288,great buy! great phone! came fast & works like new!,True
ORD022425,ID0844496503,2019-01-10,Thompson,"[('Thunder line', 1), ('pearTV', 2), ('Alcon 10', 2), ('Lucent 330S', 2)]",35160,78.41,-37.8204853,144.9496384,10,31722.41,Summer,True,0.8985,rip off phone was not what it was suppose to be,False
ORD287626,ID1686695034,2019-06-24,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2)]",9070,83.01,-37.7983009,144.9442044,25,6885.51,Winter,True,1.6196,the sound from this thunder 2nd generation is phenomenal!  not to mention that i just love iassist!  she is very helpful.,True
ORD284275,ID5636123529,2019-09-29,Bakers,"[('Lucent 330S', 1), ('Alcon 10', 2), ('Universe Note', 2)]",26030,64.79,-37.8167868,145.00725880000005,0,26094.79,Spring,False,1.3,not satisfied at all i got this phone three days ago and it dose not work if i make a call i can't hear anything but the person can hear me,False
ORD036137,ID0746917991,2019-07-10,Nickolson,"[('iAssist Line', 1), ('pearTV', 1)]",8535,81.54,-37.8245576,144.9848589,5,8189.79,Winter,True,1.5008,perfecto funciona excelente,True
ORD022031,ID0634783578,2019-09-24,Thompson,"[('Toshika 750', 1), ('iAssist Line', 1), ('Thunder line', 1), ('Olivia x460', 2)]",11175,88.12,-37.8122336,144.9365521,15,9586.87,Spring,True,0.9262,renewed cell phone it is a cell phone. it has been having moisture detected error messages.,False
ORD205572,ID0846566359,2019-08-05,Nickolson,"[('Universe Note', 2), ('iStream', 2), ('Candle Inferno', 2), ('Lucent 330S', 2)]",10520,75.03,-37.823332,144.969914,0,10595.03,Winter,True,0.5283,not used that much. don't use it much but it works for what i want.,True
ORD450021,ID0174812829,2019-09-17,Nickolson,"[('Candle Inferno', 2), ('Alcon 10', 2), ('Olivia x460', 1), ('Toshika 750', 2)]",28625,76.09,-37.8148103,144.96498200000005,10,25838.59,Spring,False,0.5822,thumbs up!!!! very satisfied with this purchase. bought it for my husband and it was a great upgrade from his note 3 that he had. he gives it a big thumbs up. battery life much longer and it has a better operating system and quick response time.,True
ORD435117,ID0591199157,2019-11-15,Nickolson,"[('Alcon 10', 1), ('iStream', 1)]",9100,79.18,-37.8221048,144.9567341,15,7814.18,Spring,False,1.1928,love it. the only downside is that you can't download any app you want.,True
ORD343415,ID0411688771,2019-08-06,Nickolson,"[('Universe Note', 1), ('Toshika 750', 2), ('Lucent 330S', 2), ('iStream', 1)]",14700,74.45,-37.8222658,144.97150369999997,25,11099.45,Winter,True,0.4432,four stars the item is working fine,True
ORD111117,ID0248266991,2019-12-12,Bakers,"[('Thunder line', 2), ('iAssist Line', 2), ('Candle Inferno', 1)]",9240,88.32,-37.82691320000001,144.9895501,10,8404.32,Summer,True,1.9483,"new phone sorry, this video is unsupported on this browser.  i do not have a month to have it and it has already touched me, give it three deletions, because it gets out of control, i do not get it often but this should not happen in a new phone",False
ORD338449,ID0846571201,2019-05-31,Nickolson,"[('Toshika 750', 2), ('Universe Note', 1), ('Candle Inferno', 2), ('iStream', 2)]",13250,62.37,-37.8184296,144.9688448,0,13312.37,Autumn,False,0.0648,i love it.,True
ORD128666,ID1668523688,2019-07-11,Nickolson,"[('iStream', 1), ('iAssist Line', 2), ('Thunder line', 2)]",8960,67.93,-37.8246289,144.9601951,25,6787.93,Winter,False,1.0621,great deal! awesome phone. looked brand new. having no issues!,True
ORD192797,ID5002595073,2019-01-28,Thompson,"[('pearTV', 1), ('Thunder line', 1), ('Lucent 330S', 1)]",9720,56.4,-37.8123217,144.95317780000005,0,9776.4,Summer,False,0.5387,very dissatisfied we purchased this phone in november and it is already refusing to charge..feel like we were ripped off:(,False
ORD436361,ID1492416086,2019-06-13,Thompson,"[('pearTV', 2), ('iStream', 1), ('Thunder line', 2)]",17130,80.16,-37.8025098,144.9579548,10,15497.16,Winter,True,1.4821,"this feels like an affordable tablet. while not the best in class, it isn't priced to be that either. works well. happy with purchase.",True
