,property_id,lat,lng,addr_street,price,property_type,year,bedrooms,bathrooms,parking_space,suburb,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermarket
0,41387,-37.745098,145.064805,1/46 Hillside Road,7200000,house,2015,3,2,2,not available,SC_017,1.2315201142138619,19936,0.2735405960983039,0,1,hospital_066,1.161168343509958,S_100,1.5976521483974504
1,72107,-37.83872223,145.2627411,19 CHURCH STREET,19550000,house,2008,3,2,2,not available,SC_032,4.153882849471866,19870,0.5805420018458731,0,1,hospital_002,1.9245958630807154,S_139,0.5971697420662471
2,51703,-37.780734,145.124075,84 Williamsons Road,9630000,house,2013,3,1,2,not available,SC_091,0.7267720453450546,20042,4.290689243825781,0,1,hospital_194,1.1341311584784974,S_188,0.6975441548589713
3,37969,-37.775635,145.019502,126 Arthur Street,7380000,house,2014,3,2,0,not available,SC_001,2.141174581961568,19930,0.4551319079427327,0,1,hospital_029,1.5862740631417185,S_219,2.1207986837424757
4,92396,-37.974605,145.06121,68 Latrobe street,12558000,house,2015,3,1,2,not available,SC_003,2.4747205193826174,19865,0.8795556125441166,0,1,hospital_133,0.8889694533575735,S_011,0.7819190047030506
5,83253,-37.891937,145.254872,6 Norma Crescent South,7200000,house,2010,3,1,0,not available,SC_049,4.695751713560247,19868,3.7260727588731806,0,1,hospital_049,4.080386029835862,S_027,2.147968317585184
6,50941,-37.7965889,145.1213684,19 Sargent,4510000,house,2007,3,1,1,not available,SC_091,1.1333729752458688,20042,2.5194566862536063,0,1,hospital_117,1.8085982482958531,S_188,1.0922230030541096
7,72309,-37.85487,145.261106,31 Enfield Drive,8853000,house,2016,3,2,1,not available,SC_032,5.48084424910326,19870,1.587878737948421,0,1,hospital_002,0.6255756281399348,S_139,1.4188872988982337
8,21290,-37.76148987,144.9615784,49 Breese Street,9044000,house,2009,3,1,2,not available,SC_030,3.390863775946893,19967,0.08340670846474703,0,1,hospital_011,0.820983244639659,S_074,0.9356941450776799
9,91215,-37.983215,145.038531,124 Dalgetty Road,10890000,house,2010,4,2,1,not available,SC_079,3.8004573540843096,19866,2.3190620016941237,0,1,hospital_055,1.2401986118924566,S_011,2.1050371111644997
10,34522,-37.727974,145.014579,28 Oakhill Avenue,11300000,house,2016,3,1,2,not available,SC_103,1.7048183488440174,20011,1.04053453464513,0,1,hospital_139,1.8594662297650004,S_225,1.2917705496973095
11,81903,-37.994945,145.250321,2 Eumemmerring Drive,5520000,house,2016,3,1,1,not available,SC_077,1.153743090997893,19885,3.057934400078015,0,1,hospital_119,2.9599628017223187,S_212,1.7317099515533119
12,71256,-37.852991,145.222647,2 Linsley Way,4950000,house,2010,4,2,3,not available,SC_032,4.511894917880591,19871,3.3541201711708424,0,1,hospital_008,0.5359100196788236,S_226,1.5553316966785697
13,84606,-37.883098,144.979162,11a Ormond Esplande,4024000,house,2012,4,3,2,not available,SC_015,1.6098656897323689,19955,1.623519708611367,0,1,hospital_009,2.571683072411725,S_017,1.6280283135519045
14,20560,-37.764875,144.967474,15 Cooraminta Street,19200000,house,2014,3,2,1,not available,SC_030,3.9236986882278027,19967,0.7215232102347225,0,1,hospital_144,1.009013302442816,S_074,0.8560977113103388
15,24209,-37.697565,144.973909,24 Beccles Street,7684000,house,2011,3,1,1,not available,SC_030,4.407772751229572,19961,1.3688384016640358,0,1,hospital_139,3.0792067842666757,S_161,1.6424549984003731
16,80370,-37.986048,145.158073,56 Putt Grove,9975000,house,2016,4,2,2,not available,SC_057,1.5312485976085546,19890,2.669588360451278,0,1,hospital_096,1.414187454782646,S_079,1.4845279287733137
